type,hidden,occ.year.fact,occ.month,rep.delay,rep.year.fact,rep.month,settlement.year,open_obs1,open_obs2,open_obs3,open_obs4,open_obs5,open_obs6,open_obs7,open_obs8,open_obs9,settlement_obs1,settlement_obs2,settlement_obs3,settlement_obs4,settlement_obs5,settlement_obs6,settlement_obs7,settlement_obs8,settlement_obs9,size_obs1,size_obs2,size_obs3,size_obs4,size_obs5,size_obs6,size_obs7,size_obs8,size_obs9
T3,M,2018,10,0.0,9,2,2020,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,431.3821706104202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T3,M,2018,10,0.0,9,1,2020,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T3,M,2018,10,0.0,9,2,2022,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0.0,0.0,365.5354471532884,0.0,0.0,0.0,0.0,0.0,0.0
T3,M,2018,10,0.0,9,1,2023,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,37.66038500271495,0.0,431.8087664605325,1345.0748008212954,0.0,0.0,0.0,0.0,0.0
T3,M,2018,3,0.0,9,8,2025,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,49.65527837150538,0.0,13.470180590819702,1624.6227226627186,107.16173177749587,2845.41453773465,0.0,0.0,0.0
T3,H,2018,2,0.0,9,3,2025,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,492.294799682955,0.0,0.0,1749.950310349109,0.0,158.95370406266483,0.0,0.0,0.0
T3,M,2018,10,0.0,9,1,2020,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,8.421368571031058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T3,M,2018,10,0.0,9,2,2023,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0.0,0.0,14.852859886849934,675.7465688232865,0.0,0.0,0.0,0.0,0.0
T3,M,2018,10,0.0,9,1,2025,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,85.86615785510587,0.0,0.0,791.1006639416419,0.0,1177.860629699539,0.0,0.0,0.0
T3,M,2020,10,0.0,9,10,2020,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T3,M,2018,3,0.0,9,8,2027,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,889.4759248539885,0.0,0.0,70.86312584193207,754.2158897151113,0.0,0.0,2047.2224952378083,0.0
T3,M,2018,10,0.1666666666666666,9,1,2023,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,48.427347094718,0.0,0.0,439.7110396982128,0.0,0.0,0.0,0.0,0.0
T3,M,2018,10,0.0,9,10,2025,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,328.1316016566107,0.0,203.7083194629229,0.0,0.0,627.0115163443967,0.0,0.0,0.0
T3,M,2018,10,0.0,9,1,2022,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0.0,0.0,515.556502128057,0.0,0.0,0.0,0.0,0.0,0.0
T3,M,2018,10,0.0,9,3,2023,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0.0,0.0,2736.9138117669227,49.25563006165215,0.0,0.0,0.0,0.0,0.0
T3,M,2018,12,0.0,9,3,2022,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,502.6243886136442,0.0,192.27515708713244,0.0,0.0,0.0,0.0,0.0,0.0
T3,M,2018,10,0.0,9,1,2026,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1632.2973026032398,0.0,1941.06478800386,88.97597634207129,0.0,940.2954484091788,294.8217677824394,0.0,0.0
T3,M,2018,10,0.0,9,1,2020,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,173.02761059687683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T3,M,2018,10,0.0,9,3,2022,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0.0,0.0,781.5897847701476,0.0,0.0,0.0,0.0,0.0,0.0
T3,M,2018,10,0.0,9,8,2020,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T3,M,2018,10,0.0,9,10,2022,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,163.2568078093842,0.0,580.952564582661,0.0,0.0,0.0,0.0,0.0,0.0
T3,M,2018,10,0.0,9,8,2023,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0.0,0.0,77.73845580133883,866.6929355740765,0.0,0.0,0.0,0.0,0.0
T3,M,2018,10,0.0,9,1,2024,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,508.8972372226069,0.0,0.0,1420.0359644199525,124.41119121640465,0.0,0.0,0.0,0.0
T3,H,2018,11,0.0,9,1,2023,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,183.8586103138844,0.0,690.1749829154556,1174.3916600620646,0.0,0.0,0.0,0.0,0.0
T3,H,2018,3,0.1666666666666666,9,1,2027,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1041.2495013356508,0.0,776.7773695499598,1506.7181966086855,71.21806241692744,0.0,0.0,324.6473147200239,0.0
