type,hidden,occ.year.fact,occ.month,rep.delay,rep.year.fact,rep.month,settlement.year,open_obs1,open_obs2,open_obs3,open_obs4,open_obs5,open_obs6,open_obs7,open_obs8,open_obs9,settlement_obs1,settlement_obs2,settlement_obs3,settlement_obs4,settlement_obs5,settlement_obs6,settlement_obs7,settlement_obs8,settlement_obs9,size_obs1,size_obs2,size_obs3,size_obs4,size_obs5,size_obs6,size_obs7,size_obs8,size_obs9
T1,M,2015,11,0.0,4,11,2019,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,92.60270856267918,199.54009413067703,485.3837496156918,188.348240192608,1679.5380204551736,0.0,0.0,0.0,0.0
T1,M,2014,12,0.5,4,12,2018,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,270.75374612147846,1659.7674007396242,604.6105039178631,599.2099641039543,0.0,0.0,0.0,0.0,0.0
T1,M,2013,11,0.0,2,11,2019,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,646.7348369031506,1203.09395099814,62.65446235404855,404.1203938337082,3336.7452267243366,13.802960054415214,2439.661902070993,0.0,0.0
T1,M,2013,11,0.0,2,11,2019,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,170.34214057482745,133.85209139502857,1454.715215797212,656.274162314692,1297.1239030736565,90.88923204144164,1852.2933501841264,0.0,0.0
T1,M,2014,12,0.4166666666666667,4,11,2018,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1855.4661989085848,690.4200207354997,1028.7021607812217,1292.1315042887425,0.0,0.0,0.0,0.0,0.0
T1,M,2014,12,0.5,4,12,2018,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,919.6865418388747,128.5373541121159,1247.893637878522,627.2004046143777,0.0,0.0,0.0,0.0,0.0
T1,M,2015,11,0.0,4,11,2019,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,169.36015929236547,2366.917767163179,247.99012570518715,397.835933368226,1656.0958889681503,0.0,0.0,0.0,0.0
T1,M,2015,11,0.0,4,11,2019,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,724.1738225649852,48.85853136288684,23.43353121652599,1442.4308598651903,171.11284148119245,0.0,0.0,0.0,0.0
T1,M,2013,11,0.0,2,12,2019,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,477.1623004577057,420.0305814251713,1267.8498682486895,697.524351722859,698.1623072148345,913.9174394702204,2166.574379538101,0.0,0.0
T1,M,2015,11,0.0,4,11,2019,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,430.99887274466585,90.29326286268235,1089.4209539530011,95.80520724930793,2203.069280543013,0.0,0.0,0.0,0.0
T1,M,2014,12,0.5,4,12,2018,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,569.7270749645824,496.4166040592282,246.5679486095468,507.8687801465172,0.0,0.0,0.0,0.0,0.0
T1,M,2014,11,0.1666666666666666,3,11,2019,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,102.57468757893896,260.2061416435428,401.9189644841056,1109.668549285106,135.7077904898917,1787.8932260374384,0.0,0.0,0.0
T1,M,2015,11,0.0,4,11,2020,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1942.6785587043053,1063.3799118047318,1512.5877532243971,2392.3564300901985,718.5797058099481,772.8927890091308,0.0,0.0,0.0
T1,M,2014,11,0.1666666666666666,3,11,2019,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,561.3412342182088,1438.931420050597,2720.1870599753624,1243.8567374407305,2405.7428580238397,527.8003769591235,0.0,0.0,0.0
T1,M,2014,12,0.4166666666666667,4,11,2018,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,870.8200646614397,605.0169979130137,424.307184451547,511.3397654374861,0.0,0.0,0.0,0.0,0.0
T1,M,2013,11,0.0,2,11,2019,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,346.9091422271276,909.9948699691544,346.6521055751136,795.0599543850662,201.15164907995103,1369.4846386613256,150.90716976281576,0.0,0.0
T1,M,2012,12,0.0,2,12,2018,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,182.0064611367392,81.29913583052152,1074.094743459568,1329.5422364169185,388.2782689196999,546.9390883923788,0.0,0.0,0.0
T1,M,2015,11,0.0,4,11,2019,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,77.94000650825727,433.5158365945064,18.363784020047632,1596.925171869052,203.98079606805652,0.0,0.0,0.0,0.0
T1,M,2014,12,0.5,4,12,2020,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,143.16845441281248,537.8818732289817,1.633347908477284,1061.3811481321443,284.4619014791593,549.394686963378,0.0,0.0,0.0
T1,M,2013,11,0.0,2,11,2019,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1826.5348429230896,1613.3243117956467,266.9450414122164,24.028846419556974,3337.810398603008,1847.8499165388607,586.4276003026919,0.0,0.0
T1,M,2013,12,0.0,2,11,2018,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,87.77874943006934,12.652702712064595,371.3051204467697,1.0,378.9902742881408,1558.766122936568,0.0,0.0,0.0
T1,M,2015,11,0.0,4,11,2019,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,822.5743498043856,67.85621571582169,6.634212681129212,834.2840642352837,346.19217969930986,0.0,0.0,0.0,0.0
T1,M,2013,12,0.0,2,11,2018,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,431.8510931962124,1645.579031926946,207.9494485151032,490.548323980608,2853.8892675389498,858.3755818056371,0.0,0.0,0.0
T1,M,2013,11,0.0,2,11,2019,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,123.2332230266452,1186.146991176675,568.2792909853761,257.8879650890056,391.4197424146553,603.2671537945595,239.14728010575328,0.0,0.0
T1,M,2013,11,0.0,2,12,2019,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,296.15316693769114,249.06505966668848,334.7430473128871,320.1275228893665,2436.7081577776485,4083.346779859041,1366.9590733117657,0.0,0.0
T1,L,2015,12,0.4166666666666667,4,11,2018,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1867.4077886313737,39.91998845274932,299.6705159502843,1.0,0.0,0.0,0.0,0.0,0.0
T1,M,2015,11,0.0,4,11,2018,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,109.59899457213156,59.447390039784125,597.9160674983484,3165.952125013147,0.0,0.0,0.0,0.0,0.0
T1,M,2015,11,0.0,4,11,2019,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,659.0312671333932,494.9060487224035,1061.4794912520554,18.700761850960298,1611.09621942811,0.0,0.0,0.0,0.0
T1,M,2014,12,0.5,4,12,2018,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,424.7618222998764,1.0,614.0373587671039,491.8362586240296,0.0,0.0,0.0,0.0,0.0
T1,M,2014,1,0.0,3,11,2019,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,308.9515225256937,348.27749606321623,753.3640468724926,753.0943355196575,4093.203705688864,1306.487483247587,0.0,0.0,0.0
T1,M,2013,11,0.0,2,11,2019,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,128.49402078636066,831.0546651942265,107.37274936144442,57.60615193075901,1164.0611030145278,64.46867082031467,931.2843493501412,0.0,0.0
