type,hidden,occ.year.fact,occ.month,rep.delay,rep.year.fact,rep.month,settlement.year,open_obs1,open_obs2,open_obs3,open_obs4,open_obs5,open_obs6,open_obs7,open_obs8,open_obs9,settlement_obs1,settlement_obs2,settlement_obs3,settlement_obs4,settlement_obs5,settlement_obs6,settlement_obs7,settlement_obs8,settlement_obs9,size_obs1,size_obs2,size_obs3,size_obs4,size_obs5,size_obs6,size_obs7,size_obs8,size_obs9
T2,H,2012,12,1.0,2,12,2021,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,175.0815287959612,265.2894225767522,570.0540245716938,573.5288289356065,500.0831626677536,210.75873233479547,1100.568795127958,2032.9018473767635,415.7074219951975
T2,H,2012,12,1.8333333333333333,2,12,2021,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,98.50020271396131,1687.9735878236784,272.3180443175953,3990.7259777310464,144.63198093179838,442.3390716092665,1199.8257209354897,2295.1919913870784,3710.9018610215226
T2,H,2011,12,1.8333333333333333,2,12,2021,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,736.6229825367589,329.4127707788326,498.59341169522736,377.6126010620063,2523.906140853189,88.48379896205768,1044.3179045066606,1691.8753961720697,259.36608974309786
T2,H,2012,12,1.75,2,12,2021,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,6.148173773372646,887.823614906407,2507.178981127416,811.9988292414549,917.9689467927695,161.26691877397403,5000.0,1873.5809595179933,412.4438907416383
T2,H,2012,12,1.0,2,12,2021,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,142.12952606247785,688.5480296946521,70.60665121980935,514.297204701919,305.8016897828822,2547.8011060031504,1762.526583861319,5000.0,313.4749670900481
T2,H,2012,12,1.0,1,12,2020,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,300.43447728660794,964.4118502010004,265.1255775398561,246.24761062424756,469.133803427896,693.4787441415748,31.205323988993168,1942.2861219570989,608.4726417001091
T2,H,2012,12,1.0,2,12,2021,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,796.9208547950909,1037.394418147104,98.71454645974212,1377.9506168373211,3465.718015446017,97.57525178973592,289.541253296609,284.3359791535297,997.4099120333424
T2,H,2012,12,1.75,2,12,2021,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,365.00654510978814,1436.076504754399,589.3844033241635,250.67878609932373,184.64130786161465,464.4971887516791,1136.5853297395024,300.02479548524457,1149.9303019160438
T2,H,2012,12,1.0,2,12,2021,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,58.3919283992024,2507.020192719772,2946.136793729804,17.66828571013067,2610.835620075753,428.3791287392706,234.34689771814692,3163.809757455993,1710.5823106274818
T2,H,2012,12,1.75,2,12,2021,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,492.6054448312692,432.998285540494,1090.355420540879,376.13723036120194,1654.3909770000246,1348.2092370428363,719.0161151913462,575.1224203569085,1370.1252645947236
T2,H,2012,11,1.0,1,11,2020,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,373.2874312573172,33.928231469957936,2591.935804626649,463.2232428849767,1463.066762560275,974.5269205228672,187.90724801263465,108.07720006385463,860.0607645215144
T2,H,2012,12,1.0,2,11,2021,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,351.97602866963683,478.357749242768,48.635054381043865,1649.7776249604997,2872.422935047411,951.1304974781914,5000.0,434.83750695407895,795.000443597047
T2,H,2014,12,1.75,3,12,2022,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,326.28512806553425,1418.6324862823656,2.093919340934156,764.2361818038576,308.8598888497919,197.695212836396,738.3937495138036,3454.33072043146,1901.1554272483356
T2,H,2011,12,1.8333333333333333,2,12,2021,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,822.8633216457239,2215.4153424473475,2450.83119942762,299.3017757977628,161.44529493879207,270.0912542073376,454.37493212270186,282.8683599234949,2193.002090138053
T2,H,2012,12,1.0,1,12,2020,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,35.86564075745131,34.33988108217259,792.0521538949289,124.63404017555304,1876.016006347349,245.55224131535851,1717.2453204104308,952.9006836262886,4160.624587075717
T2,H,2012,12,1.0,2,12,2021,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,686.3169637114256,2004.4474323237932,456.8539961467882,39.23669975225166,838.3176964483496,76.14791672292226,231.99195039912183,1779.7097545795582,5000.0
