type,hidden,occ.year.fact,occ.month,rep.delay,rep.year.fact,rep.month,settlement.year,open_obs1,open_obs2,open_obs3,open_obs4,open_obs5,open_obs6,open_obs7,open_obs8,open_obs9,settlement_obs1,settlement_obs2,settlement_obs3,settlement_obs4,settlement_obs5,settlement_obs6,settlement_obs7,settlement_obs8,settlement_obs9,size_obs1,size_obs2,size_obs3,size_obs4,size_obs5,size_obs6,size_obs7,size_obs8,size_obs9
T2,L,2013,12,0.1666666666666666,2,12,2019,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,59.947920190802506,17.86229223978351,131.3862667886383,1308.043787659835,825.6740902217241,650.785960890297,124.84566442070312,0.0,0.0
T2,L,2020,12,0.1666666666666666,9,12,2025,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,466.6850614244561,1716.7445577750975,0.0,0.0,501.2438553175795,1130.637060093958,0.0,0.0,0.0
T3,L,2013,11,0.1666666666666666,2,12,2019,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,186.0234232679601,97.14304098965084,213.17266890300135,166.15890590518595,184.3446229158953,195.77317740729745,645.5439451963861,0.0,0.0
T2,L,2012,11,0.1666666666666666,2,12,2019,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1139.9349938435903,656.5461779049444,0.0,35.970350412511344,147.93618780882974,0.0,2468.604003673298,0.0,0.0
T3,L,2013,11,0.1666666666666666,2,12,2021,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,260.5567747012469,1082.7454394453573,345.2072497419614,1483.9670959092057,738.382442140612,735.0079905856084,304.14618893078546,0.0,1085.4373166467744
T3,L,2013,11,0.1666666666666666,2,12,2019,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,741.4635952542684,190.5722285259543,1611.1533810889457,280.33782107624154,1964.7293806075895,171.2464960814268,1495.7375877783334,0.0,0.0
T3,L,2013,12,0.1666666666666666,2,12,2017,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,20.56057239827954,6.790500371859276,0.0,5000.0,1061.540093976441,0.0,0.0,0.0,0.0
T3,L,2011,12,0.1666666666666666,1,12,2020,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,79.20209500655572,62.50036979440932,157.50344083631597,466.0332469188922,265.6469216353428,45.02424284180164,0.0,0.0,3212.5845171676947
T2,L,2012,12,0.1666666666666666,1,12,2017,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,97.86707146823083,19.155610146468003,305.3406686861651,0.0,1497.4220559196538,1150.8337946988515,0.0,0.0,0.0
T3,L,2013,11,0.0833333333333333,2,12,2019,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1209.0038741104638,384.373805992891,504.17910669699415,766.7222778812995,925.4437867845928,161.81786203969267,1580.595873275526,0.0,0.0
