"claim.nr";"type";"hidden";"occ.date";"occ.year";"occ.year.fact";"occ.month";"rep.delay";"rep.date";"rep.year";"rep.year.fact";"rep.month";"settlement.date";"settlement.year";"open_obs1";"open_obs2";"open_obs3";"open_obs4";"open_obs5";"open_obs6";"open_obs7";"open_obs8";"open_obs9";"settlement_obs1";"settlement_obs2";"settlement_obs3";"settlement_obs4";"settlement_obs5";"settlement_obs6";"settlement_obs7";"settlement_obs8";"settlement_obs9";"size_obs1";"size_obs2";"size_obs3";"size_obs4";"size_obs5";"size_obs6";"size_obs7";"size_obs8";"size_obs9"
1;"T1";"M";"2013-11-22";2013;"2013";"11";0.0164271047227926;"2013-11-28";2;"2";"11";"2016-09-13";2016;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;300.06908727684;319.038264474574;377.30254744009;115.994476089485;0;0;0;0;0
2;"T1";"M";"2012-10-13";2012;"2012";"10";0.0520191649555099;"2012-11-01";1;"1";"11";"2013-03-06";2013;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;671.229862321067;0;0;0;0;0;0;0;0
5;"T1";"M";"2015-12-17";2015;"2015";"12";0.142368240930869;"2016-02-07";5;"5";"2";"2016-11-01";2016;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;246.880972203891;0;0;0;0;0;0;0;0
6;"T2";"L";"2012-07-18";2012;"2012";"7";0.309377138945927;"2012-11-08";1;"1";"11";"2013-12-03";2013;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;138.885408988017;0;0;0;0;0;0;0;0
7;"T2";"M";"2014-03-13";2014;"2014";"3";0.0985626283367557;"2014-04-18";3;"3";"4";"2015-11-12";2015;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;2038.08808678928;445.824010104971;0;0;0;0;0;0;0
9;"T2";"M";"2016-06-04";2016;"2016";"6";0.350444900752909;"2016-10-10";5;"5";"10";"2020-07-20";2020;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;120.199731577937;0;26.9339199884306;1430.57218206891;0;0;0;0;0
11;"T1";"L";"2013-04-25";2013;"2013";"4";0.0520191649555099;"2013-05-14";2;"2";"5";"2014-05-01";2014;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;1030.30800681013;0;0;0;0;0;0;0;0
12;"T1";"M";"2019-04-02";2019;"2019";"4";0.446269678302533;"2019-09-12";8;"8";"9";"2020-09-13";2020;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;244.671422059546;0;0;0;0;0;0;0
14;"T1";"M";"2013-07-24";2013;"2013";"7";0.0109514031485284;"2013-07-28";2;"2";"7";"2014-04-04";2014;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;459.831042223254;0;0;0;0;0;0;0
15;"T1";"M";"2020-10-20";2020;"2020";"10";0.0684462696783025;"2020-11-14";9;"9";"11";"2022-02-08";2022;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;32.213950225288;0;0;0;0;0;0;0
16;"T1";"L";"2015-05-28";2015;"2015";"5";0.358658453114305;"2015-10-06";4;"4";"10";"2016-07-15";2016;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;232.905786591999;1577.51000552159;0;0;0;0;0;0;0
17;"T1";"M";"2019-10-06";2019;"2019";"10";0.131416837782341;"2019-11-23";8;"8";"11";"2020-05-20";2020;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;245.625836086233;0;0;0;0;0;0;0
19;"T1";"M";"2014-12-04";2014;"2014";"12";0.16974674880219;"2015-02-04";4;"4";"2";"2017-03-13";2017;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;804.39998524968;505.620802047178;0;0;0;0;0;0;0
20;"T1";"L";"2020-09-17";2020;"2020";"9";0.183436002737851;"2020-11-23";9;"9";"11";"2027-01-10";2027;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;326.423710391861;1777.94897784647;1324.49668606039;114.441550908883;197.465291499419;4479.41870319498;0;0;0
21;"T1";"H";"2014-06-03";2014;"2014";"6";0.0355920602327173;"2014-06-16";3;"3";"6";"2015-12-20";2015;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;2579.92713537876;1244.48223887518;0;0;0;0;0;0;0
22;"T1";"M";"2014-10-15";2014;"2014";"10";0.194387405886379;"2014-12-25";3;"3";"12";"2015-11-18";2015;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;85.6990346845321;0;0;0;0;0;0;0
24;"T1";"H";"2013-02-02";2013;"2013";"2";0.0602327173169062;"2013-02-24";2;"2";"2";"2013-11-22";2013;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;266.360409348408;0;0;0;0;0;0;0;0
25;"T1";"M";"2011-12-30";2011;"2011";"12";0.0930869267624914;"2012-02-02";1;"1";"2";"2021-02-17";2021;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;1345.73479138122;330.49869853634;1570.53345732318;4437.89310511495;101.123908428854;39.9150424393389;5412.76841228254;5710.47566323139;5477.93036120335
26;"T1";"L";"2012-05-27";2012;"2012";"5";0.0465434633812457;"2012-06-13";1;"1";"6";"2016-08-30";2016;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;228.856117436945;70.0600728322537;858.457556072311;1316.84527967512;0;0;0;0;0
28;"T1";"M";"2020-04-06";2020;"2020";"4";0.191649555099247;"2020-06-15";9;"9";"6";"2023-10-13";2023;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;441.795046035686;0;2202.36951109983;778.325518610557;0;0;0;0;0
29;"T3";"M";"2014-12-31";2014;"2014";"12";0.183436002737851;"2015-03-08";4;"4";"3";"2015-04-28";2015;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
30;"T3";"L";"2017-12-31";2017;"2017";"12";0.802190280629706;"2018-10-20";7;"7";"10";"2027-02-25";2027;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;612.364586596595;2159.34434829273;168.855213647517;274.685363233071;0;0;0;487.033345806736
31;"T3";"L";"2016-08-26";2016;"2016";"8";0.698151950718686;"2017-05-08";6;"6";"5";"2017-06-05";2017;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
